,Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingMode,ShippingTime,Price
57,2020-08-12,10528,Shirts/Tops,1 star,7484,Unspecified,Credit Card,Economy,16,₹ 377596.03938408
58,2020-08-02,10529,Coats/Jackets,2 star,5498,Unspecified,Credit Card,Mail,8,£ 6029.319179500001
60,2020-08-30,10531,Pants,1 star,8535,Unspecified,Direct Deposit,Normal,18,"€ 5,597.06"
61,2020-08-21,10532,Jeans,2 star,8399,Female,Credit Card,Economy,8,"€ 4,773.37"
62,2020-08-04,10533,Coats/Jackets,5 star,8349,Unspecified,Prepaid Card,Normal,10,£ 6329.0235485
63,2020-08-01,10534,Shirts/Tops,4 star,8046,Male,Credit Card,Normal,9,₹ 443946.32070874
64,2020-08-08,10535,Cardigan,5 star,5080,Male,Cash,Mail,8,"€ 4,853.44"
65,2020-08-31,10536,Jeans,1 star,6878,Male,Prepaid Card,Express,10,"$7,072.56 "
66,2020-08-18,10537,Coats/Jackets,2 star,9832,Male,Cash,Normal,6,"$5,836.06 "
67,2020-08-12,10538,Cardigan,2 star,9925,Female,Direct Deposit,Express,16,£ 3365.6864065000004
68,2020-08-02,10539,Pants,4 star,7374,Female,Credit Card,Normal,12,"$1,842.56 "
69,2020-08-12,10540,Dresses,1 star,9570,Male,Direct Deposit,Express,14,£ 2419.99272275
70,2020-08-24,10541,Shirts/Tops,5 star,9015,Unspecified,Credit Card,Economy,11,"€ 4,487.03"
72,2020-08-30,10543,Coats/Jackets,4 star,7100,Female,Mobile,Mail,19,"$6,425.44 "
73,2020-08-28,10544,Cardigan,1 star,7547,Male,Ewallet,Mail,14,"$5,382.49 "
74,2020-08-25,10545,Shirts/Tops,2 star,8819,Female,Credit Card,Express,20,"€ 6,765.48"
75,2020-08-06,10546,Coats/Jackets,4 star,6841,Male,Ewallet,Express,18,"€ 3,383.62"
76,2020-08-28,10547,Hats,3 star,6040,Unspecified,Direct Deposit,Express,12,"$9,430.45 "
77,2020-08-26,10548,Dresses,3 star,5485,Male,Credit Card,Mail,19,"€ 1,354.18"
78,2020-08-18,10549,Pants,3 star,8745,Unspecified,Prepaid Card,Mail,10,£ 4060.4158125000004
79,2020-08-18,10550,Dresses,5 star,9365,Unspecified,Credit Card,Normal,13,"$2,904.03 "
80,2020-08-21,10551,Hats,2 star,8734,Male,Direct Deposit,Normal,16,£ 5817.31677175
81,2020-08-14,10552,Shirts/Tops,5 star,9965,Male,Cash,Express,7,"$4,965.25 "
82,2020-08-23,10553,Shirts/Tops,3 star,8175,Unspecified,Credit Card,Express,5,₹ 388459.65750934
83,2020-08-16,10554,Coats/Jackets,4 star,9303,Male,Direct Deposit,Economy,11,"€ 1,943.27"
84,2020-08-23,10555,Coats/Jackets,1 star,8399,Female,Prepaid Card,Mail,14,"$2,528.42 "
85,2020-08-08,10556,Dresses,1 star,7502,Male,Prepaid Card,Normal,14,"$9,962.44 "
86,2020-08-08,10557,Coats/Jackets,1 star,6838,Female,Ewallet,Express,7,"€ 5,241.53"
87,2020-08-31,10558,Coats/Jackets,5 star,7007,Unspecified,Credit Card,Normal,11,₹ 234895.78095268
90,2020-08-23,10561,Dresses,1 star,7607,Male,Direct Deposit,Mail,18,"$7,891.05 "
91,2020-08-03,10562,Coats/Jackets,2 star,5858,Male,Credit Card,Express,8,£ 4114.86427075
92,2020-08-08,10563,Shirts/Tops,3 star,7066,Male,Credit Card,Mail,9,₹ 617567.83078528
93,2020-08-18,10564,Dresses,2 star,9142,Female,Credit Card,Normal,5,₹ 325580.74608394003
94,2020-08-23,10565,Coats/Jackets,1 star,6328,Male,Cash,Mail,7,"€ 7,708.86"
95,2020-08-04,10566,Coats/Jackets,2 star,6090,Female,Prepaid Card,Express,5,£ 1148.1217405
96,2020-08-16,10567,Coats/Jackets,5 star,9433,Unspecified,Mobile,Normal,13,₹ 127655.91325387999
97,2020-08-25,10568,Pants,3 star,7354,Female,Credit Card,Normal,10,₹ 577078.47118378
99,2020-08-29,10570,Jeans,1 star,7807,Unspecified,Credit Card,Mail,6,£ 6232.343745500001
